Size;Time [ms];TimeStd;Comparisons;ComparisonsStd;Swaps;SwapsStd;AlwaysSorted;AlwaysStable
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2;0,100000000000;0,435889894354;1,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
4;0,000000000000;0,000000000000;4,750000000000;0,829156197589;0,000000000000;0,000000000000;true;true
8;0,000000000000;0,000000000000;16,650000000000;2,475378758897;0,000000000000;0,000000000000;true;false
16;0,000000000000;0,000000000000;48,250000000000;4,448314287458;0,000000000000;0,000000000000;true;false
32;0,000000000000;0,000000000000;138,850000000000;17,126806474063;0,000000000000;0,000000000000;true;false
64;0,000000000000;0,000000000000;361,800000000000;34,729814281104;0,000000000000;0,000000000000;true;false
128;0,000000000000;0,000000000000;896,300000000000;69,940760647850;0,000000000000;0,000000000000;true;false
256;0,000000000000;0,000000000000;2152,200000000000;165,917328811667;0,000000000000;0,000000000000;true;false
512;0,400000000000;1,743559577416;4910,650000000000;207,805022797819;0,000000000000;0,000000000000;true;false
1024;0,600000000000;2,200000000000;12054,800000000000;531,530770510992;0,000000000000;0,000000000000;true;false
2048;1,450000000000;2,854382595238;30097,250000000000;1657,880420144937;0,000000000000;0,000000000000;true;false
4096;2,750000000000;3,645202326346;81432,800000000000;2549,038438313561;0,000000000000;0,000000000000;true;false
8192;5,550000000000;4,352872614722;246851,300000000050;6174,335762653155;0,000000000000;0,000000000000;true;false
16384;20,600000000000;7,378346698279;826675,450000000000;9109,286977999902;0,000000000000;0,000000000000;true;false
32768;57,100000000000;9,746281342133;2996775,350000000600;16984,123286888220;0,000000000000;0,000000000000;true;false
65536;224,400000000000;33,198493941744;11362133,600000000000;31104,806783628715;0,000000000000;0,000000000000;true;false
131072;819,600000000000;24,338036075241;44268411,349999994000;110535,619211636930;0,000000000000;0,000000000000;true;false
