Size;Time [ms];TimeStd;Comparisons;ComparisonsStd;Swaps;SwapsStd;AlwaysSorted;AlwaysStable
0;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2;0,600000000000;2,615339366124;1,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
4;0,000000000000;0,000000000000;4,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
8;0,000000000000;0,000000000000;12,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
16;0,000000000000;0,000000000000;32,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
32;0,200000000000;0,871779788708;80,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
64;0,000000000000;0,000000000000;192,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
128;0,000000000000;0,000000000000;448,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
256;0,650000000000;2,833284313301;1024,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
512;0,000000000000;0,000000000000;2304,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
1024;0,800000000000;3,487119154833;5120,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
2048;1,200000000000;3,655133376499;11264,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
4096;1,650000000000;3,636963018784;24576,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
8192;4,100000000000;6,487680633323;53248,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
16384;17,300000000000;9,778036612736;114688,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
32768;53,450000000000;14,493015559227;245760,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
65536;179,900000000000;17,600852252093;524288,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
131072;692,400000000000;44,469540137042;1114112,000000000000;0,000000000000;0,000000000000;0,000000000000;true;true
